id,start,end,car
1,707,441,5
2,706,446,5
3,705,451,5
4,718,456,5
5,717,461,5
6,716,441,5
7,729,446,5
8,728,451,5
9,727,456,5
10,726,461,5
11,740,466,6
12,739,471,6
13,738,476,6
14,751,481,6
15,750,486,6
16,749,466,6
17,762,471,6
18,761,476,6
19,760,481,6
20,759,486,6
21,773,491,7
22,772,496,7
23,771,501,7
24,784,506,7
25,783,511,7
26,782,491,7
27,795,496,7
28,794,501,7
29,793,506,7
30,792,511,7
31,806,392,8
32,805,397,8
33,804,402,8
34,817,407,8
35,816,412,8
36,815,392,8
37,828,397,8
38,827,402,8
39,826,407,8
40,825,412,8
